PlayerID,Position,Goals,MarketValueEUR,EfficiencyScore
435,CM,0,40000000,0.0000
28,CM,0,120000000,0.0000
500,CB,0,100000000,0.0000
96,CM,0,20000000,0.0000
187,ST,3,100000000,0.0300
75,RW,0,120000000,0.0000
403,CM,0,1000000,0.0000
231,LW,0,50000000,0.0000
296,CAM,0,8000000,0.0000
196,CAM,0,5000000,0.0000
83,CDM,0,40000000,0.0000
212,CB,0,5000000,0.0000
33,ST,0,1000000,0.0000
336,ST,0,30000000,0.0000
18,LW,0,120000000,0.0000
303,CAM,0,80000000,0.0000
158,CDM,1,5000000,0.2000
485,RW,0,500000,0.0000
203,LB,0,60000000,0.0000
212,LB,0,8000000,0.0000
97,RB,0,1000000,0.0000
120,CB,0,120000000,0.0000
42,RW,1,1000000,1.0000
425,GK,0,60000000,0.0000
243,CDM,0,40000000,0.0000
102,CDM,0,10000000,0.0000
203,RW,0,1000000,0.0000
81,CM,0,40000000,0.0000
65,CM,0,50000000,0.0000
461,GK,0,30000000,0.0000
445,RW,0,8000000,0.0000
376,LB,0,50000000,0.0000
393,CAM,0,30000000,0.0000
448,GK,0,120000000,0.0000
26,CDM,0,2000000,0.0000
286,LW,1,50000000,0.0200
484,LB,0,3000000,0.0000
286,LW,0,3000000,0.0000
282,CDM,0,8000000,0.0000
212,RW,0,40000000,0.0000
493,CM,0,500000,0.0000
154,CF,0,40000000,0.0000
80,CB,0,15000000,0.0000
406,CM,0,3000000,0.0000
179,ST,0,80000000,0.0000
164,CM,0,40000000,0.0000
114,CM,0,5000000,0.0000
397,LW,0,120000000,0.0000
125,CB,0,40000000,0.0000
165,CDM,0,30000000,0.0000
351,CDM,0,3000000,0.0000
231,CM,0,10000000,0.0000
356,LW,0,60000000,0.0000
28,CM,0,2000000,0.0000
119,CF,0,3000000,0.0000
21,LB,0,30000000,0.0000
121,CF,1,20000000,0.0500
337,CB,0,150000000,0.0000
466,CAM,1,5000000,0.2000
221,CF,0,8000000,0.0000
392,RB,0,80000000,0.0000
391,CF,0,20000000,0.0000
69,CM,0,120000000,0.0000
116,GK,0,20000000,0.0000
353,RB,0,15000000,0.0000
267,CB,0,1000000,0.0000
98,RB,0,30000000,0.0000
238,RW,1,2000000,0.5000
13,LB,0,10000000,0.0000
59,LW,0,2000000,0.0000
290,ST,2,8000000,0.2500
321,LB,0,10000000,0.0000
122,LB,1,100000000,0.0100
26,LB,0,50000000,0.0000
56,CDM,0,8000000,0.0000
477,GK,0,40000000,0.0000
69,CB,0,40000000,0.0000
248,LW,0,30000000,0.0000
267,LW,0,120000000,0.0000
321,RW,1,80000000,0.0125
131,RW,0,30000000,0.0000
427,LB,0,40000000,0.0000
457,ST,0,100000000,0.0000
107,CAM,0,50000000,0.0000
293,CAM,0,3000000,0.0000
191,CM,0,10000000,0.0000
410,CM,0,5000000,0.0000
106,LW,0,60000000,0.0000
171,CM,0,3000000,0.0000
103,LB,0,40000000,0.0000
106,CM,0,40000000,0.0000
26,CB,0,1000000,0.0000
316,CDM,0,10000000,0.0000
50,CM,0,120000000,0.0000
359,ST,1,40000000,0.0250
394,CDM,0,5000000,0.0000
206,CAM,0,15000000,0.0000
402,CF,1,40000000,0.0250
59,CAM,1,40000000,0.0250
168,CM,0,2000000,0.0000
200,CAM,0,10000000,0.0000
46,CAM,0,150000000,0.0000
57,ST,0,15000000,0.0000
280,LB,1,120000000,0.0083
69,GK,0,5000000,0.0000
458,RW,1,80000000,0.0125
218,CAM,1,120000000,0.0083
291,CM,0,3000000,0.0000
126,CM,0,30000000,0.0000
216,CDM,0,30000000,0.0000
294,CB,0,500000,0.0000
141,ST,1,3000000,0.3333
249,LB,0,1000000,0.0000
122,LW,0,10000000,0.0000
155,CM,0,15000000,0.0000
148,ST,0,60000000,0.0000
172,RB,0,20000000,0.0000
347,LW,1,40000000,0.0250
180,LB,0,20000000,0.0000
363,CF,2,5000000,0.4000
328,CM,0,80000000,0.0000
196,CDM,0,20000000,0.0000
92,CAM,0,5000000,0.0000
53,GK,0,20000000,0.0000
137,CB,0,60000000,0.0000
2,CDM,0,3000000,0.0000
188,CM,0,2000000,0.0000
154,LW,1,50000000,0.0200
251,CDM,0,30000000,0.0000
208,CB,0,100000000,0.0000
251,LW,0,1000000,0.0000
234,CAM,0,2000000,0.0000
173,RW,0,40000000,0.0000
172,CB,0,5000000,0.0000
69,CB,0,60000000,0.0000
214,LW,0,5000000,0.0000
306,LB,0,2000000,0.0000
317,CDM,0,150000000,0.0000
255,LB,0,1000000,0.0000
54,LW,1,8000000,0.1250
304,CAM,0,10000000,0.0000
446,LB,0,2000000,0.0000
199,CDM,1,10000000,0.1000
70,CB,0,100000000,0.0000
296,CF,2,2000000,1.0000
374,CDM,0,15000000,0.0000
23,GK,0,150000000,0.0000
355,LW,1,5000000,0.2000
500,CM,0,60000000,0.0000
458,LW,1,1000000,1.0000
377,ST,0,50000000,0.0000
288,LW,0,5000000,0.0000
386,LW,0,40000000,0.0000
249,CM,0,120000000,0.0000
97,ST,0,2000000,0.0000
255,CB,0,150000000,0.0000
216,CM,0,30000000,0.0000
249,CAM,0,100000000,0.0000
395,RW,0,50000000,0.0000
83,LB,0,40000000,0.0000
177,CB,0,8000000,0.0000
3,CF,0,150000000,0.0000
174,LW,0,1000000,0.0000
183,CB,0,10000000,0.0000
500,CM,0,120000000,0.0000
190,CDM,0,30000000,0.0000
412,CM,0,80000000,0.0000
244,CF,0,40000000,0.0000
90,CAM,1,5000000,0.2000
253,CAM,0,15000000,0.0000
214,LB,0,500000,0.0000
445,RB,0,3000000,0.0000
450,LW,0,8000000,0.0000
264,LB,0,3000000,0.0000
50,CM,0,5000000,0.0000
112,CB,0,10000000,0.0000
236,ST,0,5000000,0.0000
89,LW,0,3000000,0.0000
354,RW,0,2000000,0.0000
241,CB,0,1000000,0.0000
344,CDM,0,5000000,0.0000
259,CAM,0,500000,0.0000
472,CM,0,50000000,0.0000
264,LB,0,40000000,0.0000
43,RB,0,60000000,0.0000
438,CDM,0,120000000,0.0000
268,LW,1,3000000,0.3333
103,CAM,1,3000000,0.3333
183,CM,0,60000000,0.0000
119,CAM,2,500000,4.0000
79,RB,0,3000000,0.0000
252,CM,0,40000000,0.0000
231,RB,0,100000000,0.0000
221,CB,0,120000000,0.0000
244,CAM,0,150000000,0.0000
32,GK,0,5000000,0.0000
195,CB,0,50000000,0.0000
467,LW,0,3000000,0.0000
137,GK,0,500000,0.0000
354,LW,1,120000000,0.0083
255,CAM,0,10000000,0.0000
304,CDM,0,150000000,0.0000
340,CM,0,80000000,0.0000
296,CM,0,20000000,0.0000
76,LB,0,80000000,0.0000
132,LW,0,60000000,0.0000
217,CAM,1,10000000,0.1000
401,GK,0,40000000,0.0000
483,RW,0,15000000,0.0000
255,ST,0,3000000,0.0000
112,CB,0,10000000,0.0000
163,CM,1,15000000,0.0667
431,LW,0,15000000,0.0000
199,GK,0,20000000,0.0000
405,GK,0,120000000,0.0000
260,CB,0,40000000,0.0000
2,CDM,0,40000000,0.0000
406,ST,1,120000000,0.0083
44,CDM,0,60000000,0.0000
135,LW,0,1000000,0.0000
8,LW,0,100000000,0.0000
383,CM,0,80000000,0.0000
15,RB,0,15000000,0.0000
69,ST,0,10000000,0.0000
171,ST,0,50000000,0.0000
344,CDM,0,1000000,0.0000
163,LW,1,5000000,0.2000
463,ST,0,20000000,0.0000
28,LB,0,15000000,0.0000
227,CDM,0,120000000,0.0000
428,CB,0,20000000,0.0000
214,ST,0,120000000,0.0000
429,RB,0,2000000,0.0000
497,GK,0,100000000,0.0000
281,CF,2,2000000,1.0000
400,CDM,0,3000000,0.0000
427,CDM,0,120000000,0.0000
315,LB,0,2000000,0.0000
149,CM,0,120000000,0.0000
470,GK,0,150000000,0.0000
59,LW,0,8000000,0.0000
388,LW,0,20000000,0.0000
274,GK,0,3000000,0.0000
156,CAM,0,50000000,0.0000
418,GK,0,500000,0.0000
45,RB,0,5000000,0.0000
11,ST,2,15000000,0.1333
213,RW,0,30000000,0.0000
366,CB,0,80000000,0.0000
319,ST,0,100000000,0.0000
301,ST,1,100000000,0.0100
319,LB,0,120000000,0.0000
121,LB,0,500000,0.0000
414,CB,0,3000000,0.0000
395,ST,2,5000000,0.4000
401,CAM,0,1000000,0.0000
391,CM,0,5000000,0.0000
428,RW,1,30000000,0.0333
386,RW,0,15000000,0.0000
395,GK,0,2000000,0.0000
463,CAM,0,30000000,0.0000
359,CDM,0,100000000,0.0000
372,LW,0,150000000,0.0000
12,GK,0,20000000,0.0000
322,CM,0,1000000,0.0000
180,RB,0,5000000,0.0000
233,CB,0,80000000,0.0000
302,CAM,0,20000000,0.0000
249,LW,0,150000000,0.0000
472,CF,0,80000000,0.0000
156,RB,0,5000000,0.0000
63,CM,0,1000000,0.0000
391,CB,0,100000000,0.0000
277,GK,0,20000000,0.0000
99,CF,1,1000000,1.0000
493,GK,0,15000000,0.0000
442,ST,0,80000000,0.0000
147,CB,0,2000000,0.0000
153,CDM,1,5000000,0.2000
253,CM,1,60000000,0.0167
325,LB,0,20000000,0.0000
43,RW,0,10000000,0.0000
22,GK,0,30000000,0.0000
180,RW,1,150000000,0.0067
372,CAM,1,80000000,0.0125
140,LB,0,40000000,0.0000
3,ST,0,80000000,0.0000
276,GK,0,3000000,0.0000
64,CM,1,100000000,0.0100
414,LW,0,120000000,0.0000
57,ST,0,150000000,0.0000
478,CAM,1,150000000,0.0067
481,CDM,0,40000000,0.0000
453,LW,0,20000000,0.0000
378,LB,0,2000000,0.0000
246,CM,0,40000000,0.0000
484,CB,0,100000000,0.0000
456,RW,0,5000000,0.0000
287,CB,0,60000000,0.0000
408,CDM,0,3000000,0.0000
7,CAM,0,10000000,0.0000
96,LB,0,1000000,0.0000
241,RB,0,30000000,0.0000
217,CDM,0,10000000,0.0000
316,RB,0,8000000,0.0000
123,CM,0,60000000,0.0000
73,RB,0,50000000,0.0000
174,RW,0,8000000,0.0000
480,LB,0,15000000,0.0000
74,ST,1,10000000,0.1000
391,CAM,1,30000000,0.0333
108,LW,1,2000000,0.5000
270,LW,0,120000000,0.0000
203,LB,0,60000000,0.0000
266,CDM,0,1000000,0.0000
163,RB,0,8000000,0.0000
403,RB,0,3000000,0.0000
155,LW,0,10000000,0.0000
485,CDM,0,500000,0.0000
120,CM,0,100000000,0.0000
108,CM,0,500000,0.0000
116,CDM,0,30000000,0.0000
196,LB,0,2000000,0.0000
48,LB,0,8000000,0.0000
106,LB,0,2000000,0.0000
81,CF,0,80000000,0.0000
82,CAM,0,10000000,0.0000
423,CDM,0,150000000,0.0000
178,LW,0,60000000,0.0000
467,LW,1,3000000,0.3333
466,CM,0,3000000,0.0000
107,CM,0,500000,0.0000
20,GK,0,5000000,0.0000
72,CM,0,8000000,0.0000
40,LW,0,20000000,0.0000
200,LW,1,1000000,1.0000
47,GK,0,500000,0.0000
371,CB,0,150000000,0.0000
481,CDM,0,10000000,0.0000
235,LB,0,50000000,0.0000
129,CF,2,40000000,0.0500
436,LW,0,40000000,0.0000
120,GK,0,30000000,0.0000
152,LB,0,10000000,0.0000
267,RW,0,30000000,0.0000
411,LW,0,60000000,0.0000
27,CAM,1,10000000,0.1000
160,CB,0,15000000,0.0000
140,ST,0,2000000,0.0000
390,CB,0,500000,0.0000
195,CM,0,30000000,0.0000
470,LB,0,150000000,0.0000
251,RB,0,2000000,0.0000
395,ST,0,150000000,0.0000
245,GK,0,500000,0.0000
127,CAM,0,500000,0.0000
85,RW,0,30000000,0.0000
326,CAM,1,5000000,0.2000
36,RW,1,150000000,0.0067
250,LB,0,100000000,0.0000
462,ST,0,3000000,0.0000
16,CAM,0,120000000,0.0000
