MatchPerformanceID,PlayerID,TeamID,LeagueID,MatchID,DateID,MinutesPlayed,Position,Age,MarketValueEUR,Goals,Assists,xG,xA,PassesAttempted,PassesCompleted,DefensiveDuels,DefensiveDuelsWon,MatchRating
1,435,22,4,555,555,81,CM,36,40000000,0,0,0.05,0.09,67,67,2,2,6.5
2,28,1,1,228,228,47,CM,30,120000000,0,0,0.08,0.07,82,67,6,6,7.9
3,500,2,1,179,179,45,CB,33,100000000,0,0,0.05,0.01,40,28,6,4,5.9
4,96,27,5,371,371,84,CM,24,20000000,0,0,0.14,0.1,71,62,2,1,7
5,187,1,1,430,430,9,ST,25,100000000,3,0,0.43,0.15,34,21,4,1,7.4
6,75,3,1,391,391,56,RW,21,120000000,0,0,0.28,0.12,61,48,2,2,7.3
7,403,6,1,738,738,89,CM,25,1000000,0,0,0.08,0.06,60,34,3,2,7.2
8,231,31,5,645,645,80,LW,25,50000000,0,0,0.15,0.14,51,39,0,0,5.9
9,296,17,3,696,696,63,CAM,34,8000000,0,0,0.3,0,67,56,10,8,7.2
10,196,27,5,458,458,85,CAM,31,5000000,0,0,0.25,0.2,66,49,10,9,7.5
11,83,1,1,74,74,90,CDM,27,40000000,0,1,0.04,0.03,67,61,4,3,8.2
12,212,19,3,372,372,87,CB,17,5000000,0,0,0.04,0.15,56,53,1,0,6.1
13,33,10,2,106,106,26,ST,32,1000000,0,0,0.1,0.13,53,53,1,0,6.4
14,336,14,2,160,160,19,ST,29,30000000,0,0,0.88,0.16,48,46,2,0,7.3
15,18,23,4,175,175,79,LW,27,120000000,0,0,0.32,0.08,52,45,7,2,8.9
16,303,11,2,715,715,85,CAM,35,80000000,0,0,0.02,0.4,79,62,5,3,7.4
17,158,12,2,92,92,45,CDM,25,5000000,1,0,0.03,0.02,83,53,5,2,7.1
18,485,8,1,9,9,63,RW,26,500000,0,1,0.09,0.07,73,54,0,0,6.2
19,203,13,2,575,575,6,LB,29,60000000,0,0,0.02,0.08,67,51,8,4,6.5
20,212,14,2,545,545,8,LB,19,8000000,0,0,0.04,0.01,80,73,9,7,6.5
21,97,20,3,638,638,46,RB,21,1000000,0,0,0.1,0.04,51,31,4,2,5.9
22,120,9,2,449,449,27,CB,17,120000000,0,0,0.04,0,59,57,7,5,7.1
23,42,4,1,33,33,26,RW,21,1000000,1,0,0.19,0.03,39,38,7,2,6.2
24,425,17,3,257,257,73,GK,24,60000000,0,0,0,0,32,18,3,3,8.1
25,243,9,2,97,97,3,CDM,26,40000000,0,0,0.15,0.04,97,88,8,1,6.4
26,102,24,4,654,654,60,CDM,18,10000000,0,0,0.07,0.45,90,76,5,0,6.1
27,203,1,1,283,283,89,RW,17,1000000,0,0,0.43,0.14,65,57,9,2,6.8
28,81,3,1,92,92,85,CM,36,40000000,0,0,0.04,0.06,53,30,5,5,6
29,65,4,1,550,550,73,CM,27,50000000,0,0,0.04,0.08,96,64,0,0,6.8
30,461,3,1,138,138,76,GK,31,30000000,0,0,0,0,31,26,2,2,6.7
31,445,11,2,480,480,10,RW,34,8000000,0,0,0.4,0.16,63,43,4,4,6.8
32,376,15,3,1,1,60,LB,17,50000000,0,0,0.03,0.05,60,56,1,1,6.2
33,393,26,4,700,700,86,CAM,36,30000000,0,0,0.29,0.02,65,38,1,0,5.7
34,448,5,1,133,133,3,GK,20,120000000,0,0,0,0,43,43,6,5,7.2
35,26,12,2,639,639,14,CDM,36,2000000,0,0,0.14,0.04,91,81,1,1,8.3
36,286,19,3,63,63,48,LW,30,50000000,1,0,0.35,0.69,74,57,8,0,8.1
37,484,13,2,312,312,15,LB,33,3000000,0,0,0.02,0.05,74,64,3,1,7.3
38,286,12,2,255,255,81,LW,30,3000000,0,0,0.15,0.16,57,52,7,6,8.6
39,282,9,2,171,171,83,CDM,27,8000000,0,0,0.22,0.1,78,64,5,4,9
40,212,16,3,333,333,81,RW,30,40000000,0,1,0.99,0.17,69,50,6,6,7.4
41,493,5,1,261,261,63,CM,29,500000,0,1,0.29,0.02,88,49,8,2,9
42,154,6,1,310,310,18,CF,23,40000000,0,0,0.03,0.1,55,46,8,2,5.8
43,80,20,3,472,472,20,CB,28,15000000,0,0,0.01,0.13,45,42,6,4,8.7
44,406,10,2,80,80,64,CM,32,3000000,0,0,0.24,0.12,52,51,9,6,5.8
45,179,20,3,58,58,52,ST,30,80000000,0,0,0.16,0,34,18,10,10,6.8
46,164,6,1,313,313,59,CM,21,40000000,0,0,0.15,0.05,59,33,10,6,8.9
47,114,25,4,610,610,6,CM,29,5000000,0,0,0.37,0.18,80,80,0,0,6.4
48,397,22,4,409,409,76,LW,21,120000000,0,0,0.93,0.11,60,53,9,3,7.5
49,125,4,1,537,537,81,CB,30,40000000,0,0,0.03,0.08,45,27,10,6,7
