PerformanceID,PlayerID,ClubID,LeagueID,SeasonID,PositionID,MarketValueEUR,WageEUR,Matches,MinutesPlayed,Goals,Assists,xG,xA,PassAccuracy,KeyPasses,TacklesWon,Interceptions,DefensiveDuelsWon,Shots,ShotsOnTarget,DribblesCompleted,ProgressivePasses,ProgressiveCarries,GoalContribution,GoalValueRatio,PerformanceScore
1,887,96,8,4,10,4405000,1470,20,1408,0,0,0,0,65.6,0.12,0.23,0.71,45.8,0,0,0,2.12,0.4,0,0,11.92
2,1806,95,8,3,1,30611000,6760,28,1822,18,4,16.32,3.56,76.8,1.19,0,0.85,43.4,3.75,33.7,2.68,1.96,5.68,22,0.000000588,105.84
3,1742,4,1,1,6,70589000,28500,23,2070,5,5,4.69,4.96,81.8,2.64,1.57,0.65,43.8,2.97,39,1.16,7.3,5.15,10,0.0000000708,65.15
4,496,55,5,4,8,46902000,9670,23,1702,1,2,1.2,2.07,84.9,0.78,2.78,2.26,66.9,0.24,20.6,0.73,5.21,3.32,3,0.0000000213,35.41
5,392,3,1,3,1,27166000,11530,26,1630,4,2,4.47,3.13,74.1,0,1.18,0.65,50.4,4.91,29.7,1.55,0,3.45,6,0.0000001472,38.57
6,935,91,8,5,5,24128000,4510,28,2448,2,8,1.55,8.47,78.1,1.18,2.09,2.33,53.9,0.9,30.7,0,4.08,3.31,10,0.0000000829,64.45
7,481,73,7,2,6,11076000,2160,19,1435,3,2,5.17,2.73,73.3,1.99,0.88,1.34,53.9,2.57,29.3,2.32,4.43,2.64,5,0.0000002709,39.25
8,978,39,4,5,2,34757000,8240,19,1321,6,4,7.72,4.3,81.8,0,0.07,0.25,38.1,2.97,37.1,3.26,0.47,2.38,10,0.0000001726,51.45
9,1974,70,6,3,10,19298000,5980,17,1507,0,0,0,0,73.9,0.44,0.03,0.15,38.9,0,0,0,4.21,0.31,0,0,13.02
10,1732,52,5,4,2,20169000,6180,25,2250,9,2,10.65,1.74,67.4,1.54,0.27,0.51,43,4.57,35.2,0.54,3.69,0.77,11,0.0000004462,61.64
11,1669,91,8,2,9,6951000,1280,22,1913,1,2,0.83,2.67,90.9,0.85,2.34,0.87,63.3,0.59,33.8,0.11,2.52,3.64,3,0.0000001439,33.03
12,973,20,2,4,10,37488000,8210,33,2736,0,0,0,0,67.5,0.37,0.08,0.27,48.3,0,0,0,2.6,0.12,0,0,16.28
13,102,8,1,5,5,70047000,23240,25,2250,3,2,2.94,5.34,90,1.13,2.99,1.17,65.4,1.58,26.1,2.56,5.61,0.75,5,0.0000000428,43.83
14,1133,70,6,4,7,34872000,7680,31,2310,1,2,1.19,1.66,84.5,1.08,1.56,3.31,65.9,0.48,18,1.56,5.2,2.83,3,0.0000000287,37.38
15,1237,81,7,5,2,34219000,9370,34,2692,18,6,19.59,5.48,84.3,1.69,0.1,0.83,41.2,5.44,42.7,2.19,1.97,2.03,24,0.000000526,116.08
16,1066,42,4,2,10,46032000,11430,37,2781,0,0,0,0.26,79,0,0.23,0.13,61.7,0,0,0,2.96,0.51,0,0,17.24
17,1506,72,6,2,2,44041000,6860,37,3330,15,1,14.92,0.69,72.9,1.46,0.66,0.53,71.7,3.64,40.8,0.28,3.52,3.93,16,0.0000003406,88.24
18,599,9,1,3,5,65851000,29600,15,956,2,3,3.47,3.13,87.3,1.73,1.18,1.18,15,1.44,44.2,2.02,1.95,4.07,5,0.0000000304,36.44
19,1303,61,6,5,5,15954000,3550,33,2325,7,7,4.87,4.54,81.8,2.02,2.37,1.95,55.3,1.74,35.4,2.39,8.27,3.78,14,0.0000004388,83.74
20,854,20,2,3,2,45292000,13250,22,1599,4,4,6.39,5.29,78,2.12,1.33,0.52,37.5,2.25,33.7,1.43,1.75,5.19,8,0.0000000883,51.22
