PerformanceID,PlayerID,ClubID,LeagueID,SeasonID,Goals,MarketValueEUR,GoalToMarketValueRatio
1,887,96,8,4,0,4405000,0.0000
2,1806,95,8,3,18,30611000,0.5880
3,1742,4,1,1,5,70589000,0.0708
4,496,55,5,4,1,46902000,0.0213
5,392,3,1,3,4,27166000,0.1472
6,935,91,8,5,2,24128000,0.0829
7,481,73,7,2,3,11076000,0.2709
8,978,39,4,5,6,34757000,0.1726
9,1974,70,6,3,0,19298000,0.0000
10,1732,52,5,4,9,20169000,0.4462
11,1669,91,8,2,1,6951000,0.1439
12,973,20,2,4,0,37488000,0.0000
13,102,8,1,5,3,70047000,0.0428
14,1133,70,6,4,1,34872000,0.0287
15,1237,81,7,5,18,34219000,0.5260
16,1066,42,4,2,0,46032000,0.0000
17,1506,72,6,2,15,44041000,0.3406
18,599,9,1,3,2,65851000,0.0304
19,1303,61,6,5,7,15954000,0.4388
20,854,20,2,3,4,45292000,0.0883
21,326,79,7,5,7,18319000,0.3821
22,1597,20,2,2,0,24069000,0.0000
23,877,86,8,1,1,7277000,0.1374
24,984,34,3,2,5,28304000,0.1767
25,355,93,8,1,0,8970000,0.0000
26,1650,40,4,5,0,38962000,0.0000
27,706,58,5,2,11,118013000,0.0932
28,579,55,5,2,0,34549000,0.0000
29,231,52,5,2,2,13961000,0.1433
30,842,13,2,3,7,48969000,0.1429
31,1112,33,3,2,9,75425000,0.1193
32,1759,64,6,2,0,8234000,0.0000
33,1377,86,8,2,0,3991000,0.0000
34,1436,50,5,3,1,17052000,0.0586
35,1960,87,8,4,1,8741000,0.1144
36,1089,45,4,5,6,18083000,0.3318
37,1587,58,5,2,4,30804000,0.1299
38,1727,34,3,1,0,14778000,0.0000
39,95,66,6,5,0,10334000,0.0000
40,1490,37,4,4,2,48680000,0.0411
41,1710,47,4,2,5,20495000,0.2440
42,1691,24,2,3,1,17222000,0.0581
43,393,87,8,1,1,25945000,0.0385
44,812,64,6,1,0,34210000,0.0000
45,1239,72,6,5,7,15821000,0.4424
46,1588,11,1,4,0,33399000,0.0000
47,1286,3,1,4,3,19837000,0.1512
48,685,54,5,2,6,19849000,0.3023
49,1844,75,7,2,1,56212000,0.0178
50,1415,86,8,5,2,7074000,0.2827
51,1260,58,5,3,4,17941000,0.2230
52,1143,18,2,2,2,63977000,0.0313
53,73,18,2,3,1,20855000,0.0480
54,1866,80,7,5,2,14625000,0.1368
55,343,6,1,2,5,146781000,0.0341
56,1169,93,8,4,3,15430000,0.1944
57,881,10,1,4,1,28831000,0.0347
58,1339,40,4,2,1,25782000,0.0388
59,1647,4,1,4,1,63492000,0.0158
60,91,39,4,2,6,29411000,0.2040
61,1231,14,2,4,2,12493000,0.1601
62,190,14,2,1,5,61459000,0.0814
63,823,66,6,2,10,34271000,0.2918
64,468,44,4,4,4,51877000,0.0771
65,1162,69,6,4,12,56274000,0.2132
66,1624,76,7,1,8,21374000,0.3743
67,521,48,4,4,5,40005000,0.1250
68,51,41,4,3,0,24577000,0.0000
69,1723,44,4,2,5,26975000,0.1854
70,946,67,6,2,3,28957000,0.1036
71,1174,63,6,5,1,6632000,0.1508
72,1163,66,6,4,7,19042000,0.3676
73,447,41,4,5,1,23846000,0.0419
74,97,43,4,4,0,8694000,0.0000
75,1015,14,2,2,2,13832000,0.1446
76,288,2,1,2,1,79886000,0.0125
77,1019,75,7,3,4,26809000,0.1492
78,1478,6,1,2,2,46818000,0.0427
79,1989,6,1,2,2,20980000,0.0953
80,1920,41,4,3,6,29794000,0.2014
81,105,60,5,3,7,35437000,0.1975
82,495,84,7,2,0,30678000,0.0000
83,601,34,3,3,0,22034000,0.0000
84,1028,56,5,3,2,13086000,0.1528
85,940,52,5,1,13,18353000,0.7083
86,1852,26,3,5,2,30291000,0.0660
87,138,29,3,2,0,42049000,0.0000
88,1313,30,3,5,0,11853000,0.0000
89,333,1,1,2,0,43741000,0.0000
90,1497,6,1,5,1,92951000,0.0108
91,1395,55,5,2,4,18805000,0.2127
92,1176,82,7,5,4,25881000,0.1546
93,1279,60,5,4,0,19886000,0.0000
94,979,23,2,4,2,66055000,0.0303
95,1541,23,2,1,3,41468000,0.0723
96,1521,31,3,2,1,46236000,0.0216
97,1543,22,2,5,8,102452000,0.0781
98,129,83,7,2,0,11204000,0.0000
99,1645,19,2,4,3,47244000,0.0635
100,1523,65,6,5,4,55844000,0.0716
101,876,67,6,1,13,35024000,0.3712
102,1178,56,5,5,5,21164000,0.2363
103,1094,96,8,3,1,15890000,0.0629
104,1660,53,5,5,1,19645000,0.0509
105,1206,5,1,2,9,51309000,0.1754
106,596,2,1,4,7,106914000,0.0655
107,1276,66,6,4,2,8517000,0.2348
108,1735,64,6,3,7,23236000,0.3013
109,1451,79,7,1,3,16380000,0.1832
110,9,31,3,3,6,29554000,0.2030
111,65,61,6,2,1,7319000,0.1366
112,1769,49,5,2,2,34286000,0.0583
113,4,89,8,2,0,7052000,0.0000
114,253,46,4,2,3,162681000,0.0184
115,139,44,4,4,1,34659000,0.0289
116,715,41,4,3,3,36550000,0.0821
117,1896,75,7,4,9,60177000,0.1496
118,1510,23,2,3,3,49996000,0.0600
119,851,1,1,3,9,57407000,0.1568
120,498,3,1,3,0,19239000,0.0000
121,854,20,2,4,10,34272000,0.2918
122,1225,44,4,3,0,8771000,0.0000
123,757,15,2,2,2,49278000,0.0406
124,673,21,2,2,0,30641000,0.0000
125,950,37,4,2,2,44568000,0.0449
126,463,74,7,1,10,22656000,0.4414
127,50,6,1,2,3,30579000,0.0981
128,328,6,1,4,0,12311000,0.0000
129,1307,45,4,1,8,60225000,0.1328
130,233,91,8,1,7,37026000,0.1891
131,866,54,5,3,1,13294000,0.0752
132,734,92,8,3,4,14694000,0.2722
133,545,14,2,4,0,31713000,0.0000
134,1719,28,3,4,5,36480000,0.1371
135,1535,23,2,2,0,16698000,0.0000
136,1827,66,6,1,1,24856000,0.0402
137,111,14,2,1,1,12829000,0.0779
138,1659,7,1,3,12,118372000,0.1014
139,1131,26,3,2,1,14990000,0.0667
140,1582,86,8,3,10,22109000,0.4523
