PerformanceID,PlayerID,ClubID,LeagueID,SeasonID,Goals,Assists,GoalContributions
1,887,96,8,4,0,0,0
2,1806,95,8,3,18,4,22
3,1742,4,1,1,5,5,10
4,496,55,5,4,1,2,3
5,392,3,1,3,4,2,6
6,935,91,8,5,2,8,10
7,481,73,7,2,3,2,5
8,978,39,4,5,6,4,10
9,1974,70,6,3,0,0,0
10,1732,52,5,4,9,2,11
11,1669,91,8,2,1,2,3
12,973,20,2,4,0,0,0
13,102,8,1,5,3,2,5
14,1133,70,6,4,1,2,3
15,1237,81,7,5,18,6,24
16,1066,42,4,2,0,0,0
17,1506,72,6,2,15,1,16
18,599,9,1,3,2,3,5
19,1303,61,6,5,7,7,14
20,854,20,2,3,4,4,8
21,326,79,7,5,7,5,12
22,1597,20,2,2,0,3,3
23,877,86,8,1,1,1,2
24,984,34,3,2,5,4,9
25,355,93,8,1,0,0,0
26,1650,40,4,5,0,1,1
27,706,58,5,2,11,5,16
28,579,55,5,2,0,2,2
29,231,52,5,2,2,4,6
30,842,13,2,3,7,1,8
31,1112,33,3,2,9,5,14
32,1759,64,6,2,0,0,0
33,1377,86,8,2,0,0,0
34,1436,50,5,3,1,1,2
35,1960,87,8,4,1,1,2
36,1089,45,4,5,6,3,9
37,1587,58,5,2,4,6,10
38,1727,34,3,1,0,0,0
39,95,66,6,5,0,0,0
40,1490,37,4,4,2,2,4
41,1710,47,4,2,5,0,5
42,1691,24,2,3,1,1,2
43,393,87,8,1,1,0,1
44,812,64,6,1,0,5,5
45,1239,72,6,5,7,6,13
46,1588,11,1,4,0,0,0
47,1286,3,1,4,3,1,4
48,685,54,5,2,6,2,8
49,1844,75,7,2,1,3,4
50,1415,86,8,5,2,1,3
51,1260,58,5,3,4,3,7
52,1143,18,2,2,2,1,3
53,73,18,2,3,1,0,1
54,1866,80,7,5,2,0,2
55,343,6,1,2,5,8,13
56,1169,93,8,4,3,3,6
57,881,10,1,4,1,1,2
58,1339,40,4,2,1,0,1
59,1647,4,1,4,1,2,3
60,91,39,4,2,6,2,8
61,1231,14,2,4,2,1,3
62,190,14,2,1,5,0,5
63,823,66,6,2,10,7,17
64,468,44,4,4,4,4,8
65,1162,69,6,4,12,5,17
66,1624,76,7,1,8,7,15
67,521,48,4,4,5,5,10
68,51,41,4,3,0,1,1
69,1723,44,4,2,5,5,10
70,946,67,6,2,3,5,8
71,1174,63,6,5,1,1,2
72,1163,66,6,4,7,1,8
73,447,41,4,5,1,2,3
74,97,43,4,4,0,0,0
75,1015,14,2,2,2,0,2
76,288,2,1,2,1,2,3
77,1019,75,7,3,4,2,6
78,1478,6,1,2,2,0,2
79,1989,6,1,2,2,0,2
80,1920,41,4,3,6,2,8
81,105,60,5,3,7,6,13
82,495,84,7,2,0,3,3
83,601,34,3,3,0,0,0
