PlayerName,ActualMarketValue,PredictedMarketValue,ValueDifference
Milos Romano,18538500,65358113.9357042,46819613.9357042
Antoine Carvalho,17204000,51544929.4520407,34340929.4520407
Kevin Andersen,26909750,58953190.1348785,32043440.1348785
Lucas Moreau,26175000,57976490.4785819,31801490.4785819
Kwame Nielsen,17032000,47865733.3919827,30833733.3919827
Thiago Fischer,8922400,39450775.3837758,30528375.3837758
Bruno Brown,20325400,50227302.5071075,29901902.5071075
Kofi Kovac,17094000,46911900.188269,29817900.188269
Ibrahim Romano,23714333.3333,51726634.0197297,28012300.6864297
Ethan Sousa,12215000,40117224.7478529,27902224.7478529
Hugo Smith,21195800,49090732.4447812,27894932.4447812
Owen Smith,16167600,43891749.3737196,27724149.3737196
Andre Schmidt,8687800,35716804.7207541,27029004.7207541
Pedro Jansen,16595000,43334510.3726173,26739510.3726173
Lars Silva,21289200,47157378.4275454,25868178.4275454
Leon Muller,11106000,36514819.0799768,25408819.0799768
Yannick Silva,18587750,42856155.9084045,24268405.9084045
Tyrone Nielsen,13743250,37976672.6652407,24233422.6652407
Erik Carvalho,18863500,42680922.436483,23817422.436483
Marco Silva,20297000,43888666.9521751,23591666.9521751
Lars Bernard,22643250,45707852.1660619,23064602.1660619
Kwame Fernandez,22547250,44923213.3551725,22375963.3551725
Finn Bernard,11112000,33347461.2798579,22235461.2798579
Kylian Muller,27624800,49858101.0761215,22233301.0761215
Tomas de Vries,22318666.6667,44320444.4334033,22001777.7667033
Nuno Santos,21004500,42965891.2451236,21961391.2451236
Pedro Owusu,18890000,40786710.5753964,21896710.5753964
Lucas Sousa,10567500,32461018.2704898,21893518.2704898
Lars Fernandez,30121250,51974475.3457762,21853225.3457762
Jordan Fernandez,23181000,44696001.5922308,21515001.5922308
Petar Wilson,9302500,30313816.7003072,21011316.7003072
Luca Owusu,30641000,50972329.4265512,20331329.4265512
Nuno Ferreira,14686000,34450924.0073207,19764924.0073207
Ethan Petrov,23455750,42992434.5638539,19536684.5638539
Thiago Horvat,34314000,52782501.5038873,18468501.5038873
Marcus Bianchi,28685750,47052197.5608183,18366447.5608183
Karim Bernard,38008500,56135968.8624061,18127468.8624061
Diego Smith,32401400,50462176.4489092,18060776.4489092
Vlad Petrov,25260250,43265434.3842237,18005184.3842237
Youssef Horvat,25497600,43283938.5146541,17786338.5146541
Carlos Schmidt,9337333.3333,26693301.5171166,17355968.1838166
Erik Mensah,19273500,36312218.6608544,17038718.6608544
Diego Taylor,43131750,60157349.5341264,17025599.5341264
Kevin Horvat,25233333.3333,42070090.4674236,16836757.1341236
Kylian Traore,46508250,63279486.6409887,16771236.6409887
Yannick Moreau,17942000,34609169.5353794,16667169.5353794
Kofi Taylor,31777600,48424707.7026876,16647107.7026876
Mateus Andersen,18802400,35325830.8691793,16523430.8691792
Erik Romano,24546000,41053539.1544371,16507539.1544371
Vlad Moreau,25429600,41887086.9005377,16457486.9005377
Pedro Brown,16273800,32704917.4428535,16431117.4428535
Lucas Nielsen,40255000,56536267.6085556,16281267.6085556
Lucas Traore,19619250,35819278.3146717,16200028.3146717
Ivan Dubois,33838200,49768958.3130607,15930758.3130607
Leon Nielsen,35672750,51399355.0625061,15726605.0625061
Antoine Jansen,13148000,28723534.5536237,15575534.5536237
Owen Andersen,31720800,47243423.0946405,15522623.0946405
Hugo Moreau,33784600,49282969.3107247,15498369.3107247
Ethan Carvalho,21710500,37157433.0173745,15446933.0173744
Mikkel Fischer,22594500,38014871.0561163,15420371.0561163
Nils Nielsen,28488400,43640448.7744014,15152048.7744014
Kwame Mensah,40580000,55709448.8346741,15129448.8346741
Kwame Dubois,13175750,28229633.6742264,15053883.6742264
Dario Nielsen,20042000,35054223.9940501,15012223.99405
Jonas Martins,26353800,41274200.9271569,14920400.9271569
Leon Carvalho,10028000,24867500.6551093,14839500.6551093
Finn de Vries,42336500,56940745.6556393,14604245.6556393
Andre Garcia,31483400,45770658.5059662,14287258.5059662
Dario Andersen,40029600,54095305.0636351,14065705.0636351
Thiago Nielsen,18353750,32308623.0623896,13954873.0623896
Kylian Taylor,37629000,51573800.8936269,13944800.8936269
Vlad Almeida,6475500,20397994.5468743,13922494.5468743
Youssef Dubois,17669800,31323867.1992553,13654067.1992553
Carlos Jansen,15872666.6667,29517538.9179214,13644872.2512214
Antoine Silva,30569200,44049693.989601,13480493.989601
Jordan Lopez,49949333.3333,63426943.3614609,13477610.0281609
Kevin Petrov,21113333.3333,34482629.3769914,13369296.0436913
Mateus Jansen,9446500,22791899.489774,13345399.489774
Jamal Bianchi,18279666.6667,31519511.6077677,13239844.9410677
Jamal Lefevre,20264333.3333,33480766.1555834,13216432.8222834
Omar Ferreira,7675200,20879807.1027827,13204607.1027827
Nuno Muller,19646200,32732874.2567897,13086674.2567897
Nils de Vries,19224000,32265802.3630263,13041802.3630263
Milos Mensah,15347800,28379649.4768417,13031849.4768417
